Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,class
0,4,1,2,own,,little,1169,6,radio/TV,1
1,1,0,2,own,little,moderate,5951,48,radio/TV,2
2,3,1,1,own,little,,2096,12,education,1
3,2,1,2,free,little,little,7882,42,furniture/equipment,1
4,3,1,2,free,little,little,4870,24,car,2
5,2,1,1,free,,,9055,36,education,1
6,3,1,2,own,quite rich,,2835,24,furniture/equipment,1
7,2,1,3,rent,little,moderate,6948,36,car,1
8,3,1,1,own,rich,,3059,12,radio/TV,1
9,1,1,3,own,little,moderate,5234,30,car,2
10,1,0,2,rent,little,moderate,1295,12,car,2
11,1,0,2,rent,little,little,4308,48,business,2
12,1,0,2,own,little,moderate,1567,12,radio/TV,1
13,3,1,1,own,little,little,1199,24,car,2
14,1,0,2,rent,little,little,1403,15,car,1
15,1,0,1,own,moderate,little,1282,24,radio/TV,2
16,3,1,2,own,,,2424,24,radio/TV,1
17,1,1,2,own,,little,8072,30,business,1
18,2,0,3,free,little,moderate,12579,24,car,2
19,1,1,2,own,quite rich,,3430,24,radio/TV,1
20,3,1,2,own,little,,2134,9,car,1
21,2,1,2,rent,quite rich,little,2647,6,radio/TV,1
22,3,1,1,rent,little,little,2241,10,car,1
23,2,1,2,own,moderate,moderate,1804,12,car,1
24,1,1,2,own,,,2069,10,furniture/equipment,1
25,2,1,1,own,little,little,1374,6,furniture/equipment,1
26,2,1,1,own,little,,426,6,radio/TV,1
27,2,0,2,rent,rich,rich,409,12,radio/TV,1
28,2,1,2,own,little,moderate,2415,7,radio/TV,1
29,4,1,2,own,little,little,6836,60,business,2
30,2,1,2,own,rich,moderate,1913,18,business,1
31,1,1,2,own,little,little,4020,24,furniture/equipment,1
32,1,1,2,own,moderate,moderate,5866,18,car,1
33,3,1,1,rent,,,1264,12,business,1
34,2,0,3,own,little,rich,1474,12,furniture/equipment,1
35,1,1,1,own,little,moderate,4746,45,radio/TV,2
36,1,1,2,free,little,,6110,48,education,1
37,2,1,2,own,little,rich,2100,18,radio/TV,2
38,2,1,2,own,little,rich,1225,10,domestic appliances,1
39,1,1,2,own,little,moderate,458,9,radio/TV,1
40,1,1,3,own,quite rich,,2333,30,radio/TV,1
41,1,1,2,own,quite rich,moderate,1158,12,radio/TV,1
42,2,1,1,own,little,moderate,6204,18,repairs,1
43,1,1,2,rent,moderate,little,6187,30,car,1
44,3,0,1,free,little,little,6143,48,car,2
45,2,0,3,own,little,,1393,11,car,1
46,2,1,2,own,quite rich,,2299,36,radio/TV,1
47,1,0,0,rent,quite rich,little,1352,6,car,1
48,2,1,1,own,little,,7228,11,car,1
49,1,0,2,own,moderate,,2073,12,radio/TV,1
50,1,1,1,own,,moderate,2333,24,furniture/equipment,1
51,1,1,3,own,little,moderate,5965,27,car,1
52,1,1,2,own,little,,1262,12,radio/TV,1
53,1,1,2,own,,,3378,18,car,1
54,3,1,2,free,little,moderate,2225,36,car,2
55,1,1,1,own,,,783,6,car,1
56,3,1,3,own,,moderate,6468,12,radio/TV,2
57,1,0,2,own,little,,9566,36,radio/TV,1
58,1,0,3,own,little,rich,1961,18,car,1
59,1,0,1,rent,little,little,6229,36,furniture/equipment,2
60,1,1,2,own,little,moderate,1391,9,business,1
61,3,1,2,own,,moderate,1537,15,radio/TV,1
62,3,1,3,free,little,moderate,1953,36,business,2
63,1,1,2,own,little,moderate,14421,48,business,2
64,1,0,2,own,little,,3181,24,radio/TV,1
65,3,1,2,own,,,5190,27,repairs,1
66,1,0,2,own,little,,2171,12,radio/TV,1
67,1,1,2,own,rich,moderate,1007,12,car,1
68,2,1,2,free,little,,1819,36,education,2
69,1,0,2,own,,,2394,36,radio/TV,1
70,1,0,2,own,little,,8133,36,car,1
71,2,1,1,rent,,,730,7,radio/TV,1
72,3,1,3,free,little,little,1164,8,vacation/others,1
73,2,0,1,own,little,moderate,5954,42,business,1
74,2,1,3,own,,little,1977,36,education,2
75,4,1,3,free,little,little,1526,12,car,1
76,2,1,2,own,little,little,3965,42,radio/TV,2
77,3,1,2,own,little,moderate,4771,11,radio/TV,1
78,2,1,1,own,,,9436,54,car,1
79,1,1,2,own,little,moderate,3832,30,furniture/equipment,1
80,2,0,2,own,,,5943,24,radio/TV,2
81,2,1,2,own,quite rich,,1213,15,radio/TV,1
82,1,0,1,rent,moderate,,1568,18,business,1
83,3,0,1,own,little,little,1755,24,vacation/others,1
84,3,1,1,own,little,little,2315,10,radio/TV,1
85,1,0,3,own,little,,1412,12,business,1
86,1,0,2,own,little,moderate,1295,18,furniture/equipment,1
87,2,1,2,free,moderate,moderate,12612,36,education,2
88,1,1,3,own,moderate,little,2249,18,car,1
89,1,1,2,own,little,little,1108,12,repairs,2
90,3,1,2,own,little,,618,12,radio/TV,1
91,3,1,2,own,little,little,1409,12,car,1
92,2,0,1,own,,,797,12,radio/TV,2
93,1,1,2,rent,,rich,3617,24,furniture/equipment,1
94,3,1,2,own,rich,moderate,1318,12,car,1
95,3,1,2,rent,little,moderate,15945,54,business,2
96,3,0,2,own,,,2012,12,education,1
97,2,1,2,own,moderate,moderate,2622,18,business,1
98,2,1,2,own,little,moderate,2337,36,radio/TV,1
99,2,1,3,rent,,moderate,7057,20,car,1
100,2,1,1,rent,moderate,,1469,24,car,1
101,1,1,2,rent,little,moderate,2323,36,radio/TV,1
102,1,0,2,own,little,,932,6,radio/TV,1
103,2,1,2,rent,little,moderate,1919,9,furniture/equipment,1
104,1,1,2,rent,,,2445,12,car,1
105,2,1,3,own,little,moderate,11938,24,vacation/others,2
106,2,1,3,own,little,,6458,18,car,2
107,1,1,2,own,little,moderate,6078,12,car,1
108,1,0,2,own,,little,7721,24,furniture/equipment,1
109,2,1,2,own,quite rich,moderate,1410,14,business,1
110,1,1,2,own,moderate,moderate,1449,6,business,1
111,1,0,2,rent,little,rich,392,15,education,1
112,1,1,1,rent,little,moderate,6260,18,car,1
113,1,0,2,own,little,,7855,36,car,2
114,2,1,2,own,quite rich,little,1680,12,radio/TV,1
115,2,1,2,own,,,3578,48,radio/TV,1
116,1,0,3,own,,little,7174,42,radio/TV,2
117,1,0,2,rent,,little,2132,10,furniture/equipment,1
118,1,0,2,own,quite rich,little,4281,33,furniture/equipment,2
119,2,1,3,own,quite rich,moderate,2366,12,car,1
120,1,0,2,own,little,little,1835,21,radio/TV,2
121,2,0,3,rent,little,,3868,24,car,1
122,1,1,1,rent,little,,1768,12,furniture/equipment,1
123,4,1,2,free,little,rich,781,10,car,1
124,1,0,2,rent,,moderate,1924,18,furniture/equipment,2
125,1,1,2,own,little,little,2121,12,car,1
126,2,1,1,own,little,little,701,12,radio/TV,1
127,1,1,2,own,little,moderate,639,12,repairs,2
128,2,1,3,own,little,moderate,1860,12,car,1
129,1,0,2,own,little,little,3499,12,car,2
130,1,0,2,own,,moderate,8487,48,car,1
131,1,1,2,own,little,little,6887,36,education,2
132,1,1,1,own,little,,2708,15,furniture/equipment,1
133,2,1,2,free,little,,1984,18,furniture/equipment,1
134,1,0,2,own,moderate,,10144,60,radio/TV,1
135,2,0,2,own,,,1240,12,radio/TV,1
136,1,1,2,own,rich,,8613,27,car,1
137,4,1,1,own,quite rich,moderate,766,12,radio/TV,2
138,2,1,2,own,,moderate,2728,15,radio/TV,1
139,2,0,1,rent,little,rich,1881,12,radio/TV,1
140,1,1,0,own,rich,rich,709,6,car,1
141,1,0,3,own,little,moderate,4795,36,radio/TV,1
142,1,1,3,own,little,little,3416,27,radio/TV,1
143,1,1,2,own,little,little,2462,18,furniture/equipment,2
144,1,0,2,own,little,,2288,21,furniture/equipment,1
145,1,1,2,own,moderate,moderate,3566,48,business,1
146,2,0,2,own,little,little,860,6,car,1
147,3,0,2,own,moderate,,682,12,car,1
148,1,1,2,own,little,little,5371,36,furniture/equipment,1
149,2,1,2,own,rich,,1582,18,radio/TV,1
150,2,1,2,free,moderate,,1346,6,radio/TV,1
151,2,1,2,own,little,,1924,10,radio/TV,1
152,1,1,2,own,little,rich,5848,36,radio/TV,1
153,1,0,2,rent,rich,moderate,7758,24,car,1
154,2,1,3,rent,moderate,moderate,6967,24,business,1
155,1,0,2,rent,little,little,1282,12,furniture/equipment,2
156,3,1,2,own,moderate,little,1288,9,repairs,1
157,2,1,1,own,little,little,339,12,education,1
158,2,1,2,own,moderate,moderate,3512,24,car,1
159,2,1,1,own,,,1898,6,radio/TV,1
160,2,1,2,own,moderate,,2872,24,radio/TV,1
161,1,0,2,own,little,,1055,18,car,1
162,2,1,2,own,quite rich,,1262,15,domestic appliances,1
163,4,1,3,free,little,moderate,7308,10,car,1
164,2,1,2,own,quite rich,,909,36,car,1
165,1,1,2,own,quite rich,,2978,6,furniture/equipment,1
166,2,0,2,own,little,little,1131,18,furniture/equipment,2
167,1,0,2,own,rich,moderate,1577,11,furniture/equipment,1
168,1,0,2,rent,little,,3972,24,furniture/equipment,1
169,1,1,2,own,little,moderate,1935,24,business,2
170,2,1,2,rent,little,little,950,15,car,2
171,1,0,2,own,little,,763,12,furniture/equipment,1
172,2,0,3,own,little,moderate,2064,24,furniture/equipment,2
173,2,1,2,own,little,moderate,1414,8,radio/TV,1
174,1,1,2,own,little,little,3414,21,education,2
175,3,0,3,own,,,7485,30,car,2
176,2,1,2,own,little,little,2577,12,furniture/equipment,1
177,3,1,2,own,quite rich,little,338,6,radio/TV,1
178,1,1,3,rent,little,,1963,12,radio/TV,1
179,4,1,2,own,little,little,571,21,car,1
180,1,1,2,own,little,,9572,36,business,2
181,1,1,3,own,little,moderate,4455,36,business,2
182,2,1,1,own,,little,1647,21,car,2
183,3,1,2,own,rich,,3777,24,furniture/equipment,1
184,2,1,2,own,little,moderate,884,18,car,2
185,1,1,2,own,little,,1360,15,radio/TV,1
186,4,0,3,free,little,moderate,5129,9,car,2
187,4,1,0,free,little,moderate,1175,16,car,1
188,1,1,2,own,moderate,little,674,12,radio/TV,2
189,2,0,2,own,little,moderate,3244,18,furniture/equipment,1
190,3,1,3,own,rich,,4591,24,business,2
191,2,1,1,free,moderate,moderate,3844,48,business,2
192,2,1,2,own,little,moderate,3915,27,business,2
193,1,1,2,rent,little,,2108,6,radio/TV,1
194,1,1,2,rent,moderate,moderate,3031,45,radio/TV,2
195,2,0,3,own,little,moderate,1501,9,education,2
196,1,0,2,own,little,,1382,6,radio/TV,1
197,1,0,2,rent,moderate,moderate,951,12,furniture/equipment,2
198,2,1,2,free,,moderate,2760,24,car,1
199,2,1,3,own,little,moderate,4297,18,furniture/equipment,2
200,3,1,2,own,quite rich,,936,9,education,1
201,1,1,1,own,little,little,1168,12,car,1
202,1,1,2,own,little,,5117,27,business,1
203,1,1,2,rent,little,little,902,12,education,2
204,2,1,1,own,little,,1495,12,car,1
205,2,1,3,free,little,little,10623,30,car,1
206,2,1,2,own,little,,1935,12,furniture/equipment,1
207,1,1,2,own,little,moderate,1424,12,domestic appliances,1
208,1,1,1,own,little,little,6568,24,business,1
209,3,1,2,own,rich,,1413,12,car,1
210,2,1,2,own,,,3074,9,radio/TV,1
211,2,0,1,own,,,3835,36,radio/TV,1
212,3,1,2,own,little,little,5293,27,business,2
213,4,1,3,own,little,rich,1908,30,business,2
214,3,1,2,own,,,3342,36,radio/TV,1
215,2,0,1,own,,moderate,932,6,education,1
216,1,1,2,own,little,little,3104,18,business,1
217,1,1,2,own,little,rich,3913,36,radio/TV,1
218,1,1,1,rent,little,little,3021,24,furniture/equipment,1
219,4,0,2,own,little,,1364,10,car,1
220,1,1,1,own,little,moderate,625,12,radio/TV,1
221,1,0,2,rent,,little,1200,12,education,1
222,1,1,2,own,little,,707,12,radio/TV,1
223,1,1,2,own,,,2978,24,business,1
224,1,1,2,own,little,,4657,15,car,1
225,1,1,2,own,little,,2613,36,repairs,1
226,1,1,2,own,rich,moderate,10961,48,radio/TV,2
227,3,1,3,free,little,little,7865,12,furniture/equipment,2
228,1,1,2,own,little,,1478,9,radio/TV,2
229,1,1,2,free,little,little,3149,24,furniture/equipment,1
230,1,1,2,own,little,rich,4210,36,radio/TV,2
231,3,1,1,free,quite rich,,2507,9,car,1
232,2,1,2,own,moderate,,2141,12,radio/TV,1
233,1,1,1,own,little,moderate,866,18,radio/TV,1
234,2,1,1,own,little,,1544,4,radio/TV,1
235,1,1,3,own,little,little,1823,24,radio/TV,2
236,1,1,0,own,,moderate,14555,6,car,2
237,3,1,1,rent,moderate,moderate,2767,21,business,2
238,2,0,2,own,little,,1291,12,radio/TV,1
239,2,1,2,own,little,little,2522,30,radio/TV,1
240,1,0,2,own,,little,915,24,car,2
241,3,1,2,own,little,,1595,6,radio/TV,1
242,1,1,2,free,little,little,4605,48,car,2
243,1,0,2,own,little,,1185,12,business,1
244,2,0,1,own,quite rich,,3447,12,education,1
245,1,1,2,own,little,,1258,24,business,1
246,3,1,2,own,little,,717,12,radio/TV,1
247,2,1,2,rent,moderate,,1204,6,car,1
248,1,1,2,own,little,rich,1925,24,furniture/equipment,1
249,1,0,2,rent,little,,433,18,radio/TV,2
250,2,0,1,own,rich,little,666,6,car,1
251,2,0,1,own,little,rich,2251,12,furniture/equipment,1
252,1,0,2,own,little,moderate,2150,30,car,2
253,2,1,2,own,moderate,,4151,24,furniture/equipment,1
254,1,1,2,own,,moderate,2030,9,furniture/equipment,1
255,1,1,1,own,,moderate,7418,60,radio/TV,1
256,2,1,1,own,little,,2684,24,radio/TV,1
257,1,1,2,free,little,little,2149,12,radio/TV,2
258,1,0,2,own,moderate,,3812,15,car,1
259,3,0,1,own,moderate,,1154,11,radio/TV,1
260,1,1,2,own,little,little,1657,12,furniture/equipment,1
261,3,0,2,own,little,little,1603,24,radio/TV,1
262,2,1,3,free,little,little,5302,18,car,1
263,3,0,1,free,little,,2748,12,education,1
264,1,1,1,own,little,,1231,10,car,1
265,2,1,2,own,little,moderate,802,15,radio/TV,2
266,2,1,2,own,,,6304,36,business,1
267,2,0,2,own,little,,1533,24,radio/TV,1
268,2,1,3,own,little,little,8978,14,car,2
269,1,1,2,own,,,999,24,radio/TV,1
270,1,1,2,own,,,2662,18,car,1
271,2,0,2,rent,quite rich,,1402,12,furniture/equipment,1
272,2,1,3,free,,moderate,12169,48,car,1
273,1,1,2,own,little,moderate,3060,48,radio/TV,2
274,2,1,1,own,little,little,11998,30,repairs,2
275,1,1,2,own,little,,2697,9,radio/TV,1
276,1,0,2,own,little,,2404,18,radio/TV,1
277,3,1,1,own,,little,1262,12,furniture/equipment,1
278,1,0,2,own,little,,4611,6,furniture/equipment,2
279,1,1,3,rent,moderate,,1901,24,radio/TV,1
280,1,1,2,rent,rich,,3368,15,car,1
281,3,1,2,own,little,,1574,12,furniture/equipment,1
282,3,1,1,own,,rich,1445,18,radio/TV,1
283,4,1,2,own,,,1520,15,furniture/equipment,1
284,2,1,2,own,moderate,moderate,3878,24,car,1
285,2,0,1,own,little,little,10722,47,car,1
286,1,1,2,own,little,little,4788,48,car,1
287,1,1,3,free,moderate,moderate,7582,48,vacation/others,1
288,3,0,2,own,little,moderate,1092,12,radio/TV,1
289,3,1,2,own,little,little,1024,24,radio/TV,2
290,1,1,2,own,little,,1076,12,business,1
291,1,1,3,rent,little,moderate,9398,36,car,2
292,2,0,3,free,little,little,6419,24,car,1
293,3,1,2,free,little,rich,4796,42,car,1
294,2,1,3,own,,,7629,48,business,1
295,1,0,2,own,little,moderate,9960,48,furniture/equipment,2
296,1,0,2,rent,,,4675,12,car,1
297,2,1,1,own,,,1287,10,car,1
298,2,1,2,own,little,,2515,18,furniture/equipment,1
299,1,1,2,own,rich,moderate,2745,21,furniture/equipment,1
300,3,0,0,own,little,,672,6,car,1
301,2,0,2,own,little,moderate,3804,36,radio/TV,2
302,2,1,1,own,,rich,1344,24,car,2
303,3,1,2,own,little,little,1038,10,car,1
304,2,1,2,free,quite rich,,10127,48,car,2
305,2,1,2,own,rich,,1543,6,furniture/equipment,1
306,1,0,1,rent,,,4811,30,car,1
307,2,1,1,own,moderate,little,727,12,radio/TV,2
308,1,0,2,own,little,moderate,1237,8,furniture/equipment,2
309,1,1,1,rent,little,moderate,276,9,car,1
310,2,1,0,free,,moderate,5381,48,vacation/others,1
311,1,1,2,own,moderate,,5511,24,furniture/equipment,1
312,1,0,2,own,little,rich,3749,24,furniture/equipment,1
313,1,1,1,own,little,moderate,685,12,car,2
314,1,1,1,own,,rich,1494,4,car,1
315,1,1,2,own,little,little,2746,36,furniture/equipment,2
316,2,1,1,own,little,little,708,12,furniture/equipment,1
317,3,0,1,own,,moderate,4351,24,furniture/equipment,1
318,1,1,2,own,little,,701,12,education,1
319,1,0,1,own,little,little,3643,15,furniture/equipment,1
320,1,1,3,own,little,moderate,4249,30,car,2
321,1,1,2,own,little,little,1938,24,radio/TV,2
322,2,1,3,free,little,little,2910,24,car,1
323,1,1,2,own,rich,little,2659,18,furniture/equipment,1
324,2,0,2,own,little,,1028,18,car,1
325,2,1,1,own,little,little,3398,8,car,1
326,3,1,2,rent,,,5801,12,furniture/equipment,1
327,2,0,2,own,rich,,1525,24,car,1
328,1,1,2,own,little,rich,4473,36,radio/TV,1
329,1,1,2,own,little,moderate,1068,6,radio/TV,1
330,4,1,3,free,little,little,6615,24,car,1
331,1,0,2,own,moderate,,1864,18,education,2
332,1,0,3,own,moderate,moderate,7408,60,car,2
333,1,0,1,rent,moderate,,11590,48,car,2
334,1,1,2,rent,little,little,4110,24,furniture/equipment,2
335,2,1,3,rent,little,little,3384,6,furniture/equipment,2
336,1,0,1,own,little,moderate,2101,13,radio/TV,1
337,1,0,2,rent,,little,1275,15,domestic appliances,2
338,1,1,2,own,little,little,4169,24,furniture/equipment,1
339,1,1,1,own,little,moderate,1521,10,furniture/equipment,1
340,1,0,2,free,little,moderate,5743,24,education,1
341,1,0,1,rent,little,little,3599,21,furniture/equipment,1
342,1,1,2,rent,quite rich,moderate,3213,18,radio/TV,1
343,2,1,3,own,little,moderate,4439,18,business,1
344,2,1,1,own,little,rich,3949,10,car,1
345,2,0,1,own,little,,1459,15,radio/TV,1
346,1,1,2,own,little,moderate,882,13,radio/TV,1
347,1,0,0,rent,quite rich,moderate,3758,24,radio/TV,1
348,2,1,1,own,moderate,,1743,6,business,1
349,1,1,2,free,rich,moderate,1136,9,education,2
350,1,0,2,rent,little,,1236,9,domestic appliances,1
351,1,0,2,own,little,moderate,959,9,furniture/equipment,2
352,2,1,3,own,,,3229,18,car,1
353,1,1,2,rent,little,little,6199,12,radio/TV,2
354,2,1,2,free,quite rich,,727,10,education,1
355,1,1,1,own,little,moderate,1246,24,car,2
356,3,1,2,own,,,2331,12,radio/TV,1
357,1,1,3,own,little,,4463,36,radio/TV,2
358,1,1,2,own,little,,776,12,radio/TV,1
359,1,0,2,rent,little,little,2406,30,furniture/equipment,2
360,3,1,2,free,,moderate,1239,18,education,1
361,2,1,3,own,,rich,3399,12,radio/TV,1
362,2,0,2,own,little,rich,2247,12,car,1
363,1,1,2,rent,little,,1766,6,furniture/equipment,1
364,1,1,0,own,little,little,2473,18,furniture/equipment,2
365,2,1,2,own,little,,1542,12,business,1
366,1,1,2,own,little,,3850,18,car,1
367,1,0,2,rent,little,little,3650,18,furniture/equipment,1
368,2,1,2,own,little,little,3446,36,furniture/equipment,2
369,2,0,2,rent,little,moderate,3001,18,furniture/equipment,1
370,2,1,2,own,,,3079,36,car,1
371,2,1,2,own,little,,6070,18,radio/TV,1
372,1,0,2,rent,little,,2146,10,furniture/equipment,1
373,4,1,3,free,,,13756,60,car,1
374,3,0,3,free,moderate,moderate,14782,60,vacation/others,2
375,2,0,2,rent,little,little,7685,48,business,2
376,2,1,2,own,little,,2320,18,radio/TV,1
377,2,1,2,free,,,846,7,radio/TV,1
378,3,1,3,free,little,moderate,14318,36,car,2
379,3,0,1,own,moderate,,362,6,car,1
380,2,1,2,own,,little,2212,20,furniture/equipment,1
381,2,0,3,free,little,moderate,12976,18,car,2
382,1,0,2,rent,,,1283,22,car,1
383,1,1,2,own,little,rich,1330,12,car,1
384,1,1,1,own,moderate,,4272,30,business,1
385,1,0,2,own,little,,2238,18,radio/TV,1
386,1,0,2,rent,,,1126,18,radio/TV,1
387,2,1,3,own,little,moderate,7374,18,furniture/equipment,1
388,1,1,2,own,quite rich,moderate,2326,15,business,1
389,1,0,2,own,little,,1449,9,business,1
390,1,1,3,own,little,,1820,18,car,1
391,1,0,1,rent,rich,moderate,983,12,furniture/equipment,1
392,2,1,3,free,little,little,3249,36,car,1
393,1,0,2,own,little,little,1957,6,radio/TV,1
394,1,1,3,own,little,,2406,9,furniture/equipment,1
395,1,1,2,rent,moderate,moderate,11760,39,education,1
396,3,0,3,free,little,little,2578,12,furniture/equipment,1
397,2,1,2,own,little,little,2348,36,furniture/equipment,1
398,2,1,2,rent,little,moderate,1223,12,car,2
399,2,0,1,own,rich,,1516,24,radio/TV,1
400,2,1,2,own,little,,1473,18,radio/TV,1
401,1,1,2,own,,moderate,1887,18,business,1
402,1,1,2,own,little,,8648,24,business,2
403,1,1,1,own,little,,802,14,car,1
404,2,1,2,own,,moderate,2899,18,car,1
405,1,1,2,own,little,moderate,2039,24,radio/TV,2
406,2,1,2,own,,,2197,24,car,1
407,1,1,2,own,little,little,1053,15,radio/TV,1
408,1,1,3,own,quite rich,,3235,24,radio/TV,1
409,1,1,2,own,quite rich,rich,939,12,car,2
410,1,0,2,own,little,moderate,1967,24,radio/TV,1
411,2,1,3,own,little,,7253,33,car,1
412,2,1,3,own,little,,2292,12,business,2
413,2,1,1,rent,quite rich,,1597,10,car,1
414,2,0,2,own,,little,1381,24,car,2
415,2,1,2,own,little,,5842,36,car,1
416,2,1,1,own,little,little,2579,12,car,2
417,1,0,2,rent,,little,8471,18,education,1
418,1,0,3,own,quite rich,,2782,21,car,1
419,2,0,2,own,,moderate,1042,18,car,2
420,1,0,2,rent,rich,,3186,15,car,1
421,1,1,2,own,,moderate,2028,12,car,1
422,2,1,1,own,little,moderate,958,12,car,1
423,2,1,3,own,moderate,,1591,21,furniture/equipment,1
424,1,0,2,own,,moderate,2762,12,furniture/equipment,2
425,1,1,2,rent,little,moderate,2779,18,car,1
426,1,1,2,own,little,,2743,28,radio/TV,1
427,2,1,2,own,rich,,1149,18,radio/TV,1
428,1,1,2,own,little,,1313,9,furniture/equipment,1
429,3,0,0,free,little,little,1190,18,repairs,2
430,4,1,1,own,little,,3448,5,business,1
431,1,1,3,own,little,moderate,11328,24,vacation/others,2
432,2,1,3,free,little,little,1872,6,furniture/equipment,1
433,2,1,2,own,little,,2058,24,repairs,1
434,1,1,2,own,little,little,2136,9,furniture/equipment,1
435,1,1,2,own,,moderate,1484,12,radio/TV,2
436,1,1,1,rent,quite rich,,660,6,repairs,1
437,2,0,2,own,rich,,1287,24,car,1
438,4,1,0,own,little,little,3394,42,repairs,1
439,1,0,0,own,little,rich,609,12,business,2
440,2,1,3,own,little,,1884,12,car,1
441,1,0,2,own,little,little,1620,12,furniture/equipment,1
442,1,1,2,own,little,moderate,2629,20,vacation/others,1
443,2,1,1,own,little,,719,12,education,2
444,1,0,3,own,little,moderate,5096,48,furniture/equipment,2
445,2,0,1,rent,,,1244,9,education,1
446,2,0,2,own,little,little,1842,36,car,2
447,2,1,2,own,little,moderate,2576,7,radio/TV,1
448,3,0,3,own,,rich,1424,12,furniture/equipment,1
449,3,1,2,own,rich,moderate,1512,15,repairs,2
450,1,1,3,own,,,11054,36,car,1
451,1,0,2,own,little,,518,6,radio/TV,1
452,2,1,2,own,little,,2759,12,furniture/equipment,1
453,2,1,3,own,little,,2670,24,car,1
454,1,1,2,own,little,little,4817,24,car,2
455,1,0,3,own,little,,2679,24,car,1
456,2,1,2,rent,little,little,3905,11,car,1
457,2,1,2,free,little,little,3386,12,car,2
458,1,0,2,own,little,little,343,6,domestic appliances,1
459,1,1,2,own,little,,4594,18,radio/TV,1
460,2,1,2,own,little,little,3620,36,furniture/equipment,1
461,2,1,2,own,little,little,1721,15,car,1
462,2,0,3,rent,little,moderate,3017,12,furniture/equipment,1
463,2,1,2,own,,moderate,754,12,education,1
464,2,1,2,own,little,,1950,18,business,1
465,4,1,2,own,little,little,2924,24,car,1
466,1,0,1,rent,little,little,1659,24,radio/TV,2
467,1,1,2,own,,,7238,48,radio/TV,1
468,1,0,2,own,little,,2764,33,business,1
469,2,1,1,own,little,,4679,24,car,1
470,1,1,2,rent,moderate,moderate,3092,24,radio/TV,2
471,1,0,2,own,little,little,448,6,education,2
472,1,1,1,own,little,little,654,9,car,2
473,2,1,3,own,,,1238,6,education,1
474,2,1,2,own,little,moderate,1245,18,radio/TV,2
475,1,0,2,rent,little,little,3114,18,furniture/equipment,2
476,1,1,2,own,quite rich,,2569,39,car,1
477,1,1,2,own,little,rich,5152,24,radio/TV,1
478,2,1,1,own,moderate,moderate,1037,12,business,1
479,2,1,2,own,little,little,1478,15,furniture/equipment,1
480,1,0,1,own,little,moderate,3573,12,radio/TV,1
481,1,1,2,own,little,moderate,1201,24,car,1
482,3,0,2,rent,rich,little,3622,30,furniture/equipment,1
483,1,0,2,own,rich,,960,15,furniture/equipment,1
484,2,1,2,own,quite rich,,1163,12,car,1
485,2,1,3,own,little,moderate,1209,6,car,2
486,3,1,2,own,little,,3077,12,radio/TV,1
487,4,0,2,free,little,,3757,24,car,1
488,2,1,1,rent,moderate,,1418,10,car,1
489,1,1,2,rent,little,,3518,6,car,1
490,1,1,2,own,little,,1934,12,radio/TV,1
491,2,0,3,free,little,moderate,8318,27,business,2
492,1,0,2,own,moderate,,1237,6,radio/TV,1
493,2,1,2,own,,moderate,368,6,radio/TV,1
494,2,1,1,rent,little,little,2122,12,car,1
495,1,1,2,own,,little,2996,24,furniture/equipment,2
